item_number,accessory_group,accessory_part_number,accessory_description,accessory_image_url,raw_value
R07-200-RNEG,Tubing,PS0608025B/LP,"Super flexible polyamide tube, grey, 25m, 8mm/6mm",https://cdn.norgren.com/images/243x/PH_OT_PS_0904025C_243.jpg,"PS0608025B/LP|https://cdn.norgren.com/images/243x/PH_OT_PS_0904025C_243.jpg|Super flexible polyamide tube, grey, 25m, 8mm/6mm"
R82G-2GK-RMG,Accessories,840055-01KIT,Padlock,https://cdn.norgren.com/images/243x/840055_01KIT.jpg,840055-01KIT|https://cdn.norgren.com/images/243x/840055_01KIT.jpg|Padlock
R82G-2GK-RMG,Accessories,840055-02KIT,Padlock Hasp,https://cdn.norgren.com/images/243x/mlks430.jpg,840055-02KIT|https://cdn.norgren.com/images/243x/mlks430.jpg|Padlock Hasp
R82G-2GK-RMG,Accessories,0860810000000000,"51D Electronic pneumatic pressure switch, G1/8, -1-10 bar",https://cdn.norgren.com/images/243x/PH_PS_0860810.jpg,"0860810000000000|https://cdn.norgren.com/images/243x/PH_PS_0860810.jpg|51D Electronic pneumatic pressure switch, G1/8, -1-10 bar"
R82G-2GK-RMG,Fittings,C02250828,"Pneufit C push-in fitting, adaptor, straight, G1/4, 8mm",https://cdn.norgren.com/images/243x/PH_FI_C02250405_w.jpg,"C02250828|https://cdn.norgren.com/images/243x/PH_FI_C02250405_w.jpg|Pneufit C push-in fitting, adaptor, straight, G1/4, 8mm"
R82G-2GK-RMG,Fittings,C02470828,"Pneufit C push-in fitting, swivel adaptor, elbow, G1/4, 8mm",https://cdn.norgren.com/images/243x/PH_FI_C02470405_w.jpg,"C02470828|https://cdn.norgren.com/images/243x/PH_FI_C02470405_w.jpg|Pneufit C push-in fitting, swivel adaptor, elbow, G1/4, 8mm"
R82G-2GK-RMG,Fittings,C02670828,"Pneufit C push-in fitting, swivel adaptor, tee, G1/4, 8mm",https://cdn.norgren.com/images/243x/PH_FI_C02670405_w.jpg,"C02670828|https://cdn.norgren.com/images/243x/PH_FI_C02670405_w.jpg|Pneufit C push-in fitting, swivel adaptor, tee, G1/4, 8mm"
R82G-2GK-RMG,Manifolds,820028-53KIT,"Excelon Plus Full Flow Porting Block, G3/8",https://cdn.norgren.com/images/243x/PH_AL_820028-50KIT_243.jpg,"820028-53KIT|https://cdn.norgren.com/images/243x/PH_AL_820028-50KIT_243.jpg|Excelon Plus Full Flow Porting Block, G3/8"
R82G-2GK-RMG,Manifolds,0523109000000000,Porting block for 18D pressure switch,https://cdn.norgren.com/images/243x/PH_AL_03377170000000000_243.jpg,0523109000000000|https://cdn.norgren.com/images/243x/PH_AL_03377170000000000_243.jpg|Porting block for 18D pressure switch
R82G-2GK-RMG,Mountings,820014-51KIT,Excelon Plus Quikclamp,https://cdn.norgren.com/images/243x/PH_AL_820014-51KIT_243.jpg,820014-51KIT|https://cdn.norgren.com/images/243x/PH_AL_820014-51KIT_243.jpg|Excelon Plus Quikclamp
R82G-2GK-RMG,Mountings,820014-52KIT,Excelon Plus Quikclamp with Bracket Assembly,https://cdn.norgren.com/images/243x/PH_AL_820014-52KIT_243.jpg,820014-52KIT|https://cdn.norgren.com/images/243x/PH_AL_820014-52KIT_243.jpg|Excelon Plus Quikclamp with Bracket Assembly
R82G-2GK-RMG,Mountings,820068-51KIT,Excelon Plus Neck Mounting Bracket and Panel Nut,https://cdn.norgren.com/images/243x/PH_AL_840068-51KIT_243.jpg,820068-51KIT|https://cdn.norgren.com/images/243x/PH_AL_840068-51KIT_243.jpg|Excelon Plus Neck Mounting Bracket and Panel Nut
R82G-2GK-RMG,Mountings,820048-89KIT,Excelon Plus Panel Nut,https://cdn.norgren.com/images/243x/PH_AL_840048-89KIT_243.jpg,820048-89KIT|https://cdn.norgren.com/images/243x/PH_AL_840048-89KIT_243.jpg|Excelon Plus Panel Nut
R82G-2GK-RMG,Mountings,820024-50KIT,Excelon Plus General Mounting Bracket,https://cdn.norgren.com/images/243x/PH_AL_840024-50KIT_243.jpg,820024-50KIT|https://cdn.norgren.com/images/243x/PH_AL_840024-50KIT_243.jpg|Excelon Plus General Mounting Bracket
R82G-2GK-RMG,Tubing,PA2-0008025C,"Polyamide tube, natural, 25m, 8mm/6mm",https://cdn.norgren.com/images/243x/PH_OT_PA2_0008025C_243.jpg,"PA2-0008025C|https://cdn.norgren.com/images/243x/PH_OT_PA2_0008025C_243.jpg|Polyamide tube, natural, 25m, 8mm/6mm"
R82G-2GK-RMG,Tubing,PA2-0708025C,"Polyamide tube, black, 25m, 8mm/6mm",https://cdn.norgren.com/images/243x/PH_OT_PA2_0708025C_243.jpg,"PA2-0708025C|https://cdn.norgren.com/images/243x/PH_OT_PA2_0708025C_243.jpg|Polyamide tube, black, 25m, 8mm/6mm"
R82G-2GK-RMG,Tubing,PS0008025,"Super flexible polyamide tube, natural, 25m, 8mm/6mm",https://cdn.norgren.com/images/243x/PH_OT_PA2_0008100_243.jpg,"PS0008025|https://cdn.norgren.com/images/243x/PH_OT_PA2_0008100_243.jpg|Super flexible polyamide tube, natural, 25m, 8mm/6mm"
R82G-2GK-RMG,Tubing,PS0608025B/LP,"Super flexible polyamide tube, grey, 25m, 8mm/6mm",https://cdn.norgren.com/images/243x/PH_OT_PS_0904025C_243.jpg,"PS0608025B/LP|https://cdn.norgren.com/images/243x/PH_OT_PS_0904025C_243.jpg|Super flexible polyamide tube, grey, 25m, 8mm/6mm"
