item_number,document_type,source_field,filename,url,local_path
R07-100-RNKG,Datasheet (PDF),technicalspecs,en_8_300_200_R07.pdf,https://cdn.norgren.com/pdf/en_8_300_200_R07.pdf,
R07-100-RNKG,Installation Guide (PDF),installationandmaintenanceinstructionspdf,F07IM.pdf,https://cdn.norgren.com/pdf/F07IM.pdf,
R07-200-RNEG,Datasheet (PDF),technicalspecs,en_8_300_200_R07.pdf,https://cdn.norgren.com/pdf/en_8_300_200_R07.pdf,
R07-200-RNEG,Installation Guide (PDF),installationandmaintenanceinstructionspdf,F07IM.pdf,https://cdn.norgren.com/pdf/F07IM.pdf,
R82G-2GK-RMG,Datasheet (PDF),technicalspecs,en_8_105_250_R82G.pdf,https://cdn.norgren.com/pdf/en_8_105_250_R82G.pdf,
R82G-2GK-RMG,Brochure (PDF),brochure,z9731BR_Excelon_Plus_TR_full_range_EN_LR.pdf,https://cdn.norgren.com/pdf/z9731BR_Excelon_Plus_TR_full_range_EN_LR.pdf,
R82G-2GK-RMG,Installation Guide (PDF),installationandmaintenanceinstructionspdf,IM_AL_Excelon_Plus_EN.pdf,https://cdn.norgren.com/pdf/IM_AL_Excelon_Plus_EN.pdf,
