item_number,attribute_key,attribute_label,attribute_value
R82G-2GK-RMG,inlet_pressure_expression,Inlet Pressure,"20 bar, 290 psi"
R82G-2GK-RMG,medium,Medium,Compressed air
R82G-2GK-RMG,mil_spec,Mil Spec,Available on request
R82G-2GK-RMG,operating_temperature_expression,Operating Temperature,"-20 ... 65 °C, -4 ... 149 °F"
R82G-2GK-RMG,outlet_pressure_adjustment_expression,Outlet Pressure Adjustment,"0.3 ... 10 bar, 4 ... 145 psi"
R82G-2GK-RMG,packing_and_supply_gross_weight_weight_kilogram,Packing And Supply Gross Weight Weight Kilogram,0.35 kg
R82G-2GK-RMG,packing_and_supply_packaging_height_length_millimetre,Packing And Supply Packaging Height Length Millimetre,57 mm
R82G-2GK-RMG,packing_and_supply_packaging_length_length_millimetre,Packing And Supply Packaging Length Length Millimetre,125 mm
R82G-2GK-RMG,packing_and_supply_packaging_material,Packing And Supply Packaging Material,Cardboard Box
R82G-2GK-RMG,packing_and_supply_packaging_width_length_millimetre,Packing And Supply Packaging Width Length Millimetre,66 mm
R82G-2GK-RMG,packing_and_supply_specified_supplier_packaging,Packing And Supply Specified Supplier Packaging,No
R82G-2GK-RMG,packing_and_supply_unit_of_measure,Packing And Supply Unit Of Measure,EA
R82G-2GK-RMG,port_size,Port Size,G1/4
R82G-2GK-RMG,product_height_expression,Product Height,47 mm
R82G-2GK-RMG,product_length_expression,Product Length,115 mm
R82G-2GK-RMG,product_weight_expression,Product Weight,0.3 kg
R82G-2GK-RMG,product_width_expression,Product Width,56 mm
R82G-2GK-RMG,regulator_type,Regulator Type,General purpose
R82G-2GK-RMG,relievingnonrelieving,Relieving/Non-relieving,Relieving
R82G-2GK-RMG,videourl,Videourl,https://player.vimeo.com/video/366458652
