item_number,source_seed,slug,locale,norgren_url,title,short_description,brand,range,series,image_url,features,key_specs,document_count,document_types,accessory_count,technical_attribute_count,raw_cache_key,spec_medium,spec_media,spec_port_size,spec_internal_thread,spec_external_thread,spec_operation,spec_fitting_type,spec_shape,spec_adjustment,spec_relievingnonrelieving,spec_flow_expression,spec_operating_temperature_expression,spec_inlet_pressure_expression,spec_outlet_pressure_adjustment_expression,spec_body,spec_bonnet,spec_elastomers,spec_eu_country_of_origin,image_local_path
R17-B00-RNLA,R17-B00-RNLA,r17-b00-rnla,en,https://www.norgren.com/en/products/r17-b00-rnla,"R17 Series general purpose regulator, 1-1/2 PTF, 0.3-8.5 bar, without gauge",,IMI Norgren,R17,,https://cdn.norgren.com/images/243x/R17-600-RNLA.jpg,"Accurate and quick response to changes in flow demand and line pressure variations | Balanced valve minimizes effect of changes in inlet pressure on outlet pressure | Standard relieving models allow reduction of outlet pressure even when the system is dead-ended | Full flow gauge ports | Low torque, non-rising adjusting knob | Integral locking device on knob adjustment | Can be serviced without removal from the air line","Medium: Compressed air | Port Size: 1-1/2 PTF | Adjustment: Knob | Relieving/Non-relieving: Relieving | Flow: 208 dm3/s, 440 scfm | Operating Temperature: -34 ... 80 °C, -29 ... 176 °F | Inlet Pressure: 20 bar, 290 psi | Outlet Pressure Adjustment: 0.3 ... 8.5 bar, 4 ... 125 psi | Body: Aluminium alloy | Bonnet: Aluminium alloy | Elastomers: Nitrile rubber (NBR) | Country of Origin: Mexico",2,Datasheet (PDF) | Installation Guide (PDF),4,19,en_r17-b00-rnla.json,Compressed air,,1-1/2 PTF,,,,,,Knob,Relieving,"208 dm3/s, 440 scfm","-34 ... 80 °C, -29 ... 176 °F","20 bar, 290 psi","0.3 ... 8.5 bar, 4 ... 125 psi",Aluminium alloy,Aluminium alloy,Nitrile rubber (NBR),Mexico,
RM/91050/M/25,RM/91050/M/25,rm-91050-m-25,en,https://www.norgren.com/en/products/rm-91050-m-25,"Compact single acting cylinder, 50mm diameter, 25mm stroke",,IMI Norgren,RM/91000/M,Short stroke compact,https://cdn.norgren.com/images/1000x/PH_AC_RM_91000_M_1000.jpg,"One third the basic length of a corresponding ISO/VDMA model | Low friction, long life seal | Fully non-corrodible specification | Standard magnetic piston for full control system versatility","Medium: Compressed air | Port Size: G1/8 | Operation: Single acting | Operating Temperature: -5 ... 80 °C, 23 ... 176 °F | Country of Origin: Czechia",1,Datasheet (PDF),15,21,en_rm-91050-m-25.json,Compressed air,,G1/8,,,Single acting,,,,,,"-5 ... 80 °C, 23 ... 176 °F",,,,,,Czechia,
T1000C3800,T1000C3800,t1000c3800,en,https://www.norgren.com/en/products/t1000c3800,"Block form flow regulator, uni-directional, G3/8",,IMI Norgren,T1000,,https://cdn.norgren.com/images/1000x/PH_VA_T1000M0500_1000.jpg,Compact size/low weight/ in-line units | High flow performance | Suitable for panel and wall mounting | Adjustment can be locked | Captive regulator needle will not blow out when unscrewed | Adjusting knob position line,"Medium: Compressed air | Internal Thread: G3/8 | Shape: Straight | Operating Temperature: -20 ... 80 °C, -4 ... 176 °F | Body: Aluminium alloy | Country of Origin: China",2,Datasheet (PDF) | Brochure (PDF),7,31,en_t1000c3800.json,Compressed air,,,G3/8,,,,Straight,,,,"-20 ... 80 °C, -4 ... 176 °F",,,Aluminium alloy,,,China,
C/837,C/837,c-837,en,https://www.norgren.com/en/products/c-837,"Heavy duty flow control in-line, 1/4 NPT",,IMI Norgren,M/800,Martonair,https://cdn.norgren.com/images/243x/M800.jpg,"Line mounted general purpose regulators | Captive regulating needle will not blow out when unscrewed | Calibrated adjusting knob, can be locked | Suitable for wall mounting | High operating pressure","Medium: Compressed air | Internal Thread: 1/4 NPT | Shape: Straight | Operating Temperature: -20 ... 80 °C, -4 ... 176 °F | Body: Brass | Country of Origin: China",1,Datasheet (PDF),6,30,en_c-837.json,Compressed air,,,1/4 NPT,,,,Straight,,,,"-20 ... 80 °C, -4 ... 176 °F",,,Brass,,,China,
18-015-210,18-015-210,18-015-210,en,https://www.norgren.com/en/products/18-015-210,"Gauge, 1/4 NPT thread, 0-20 bar",,IMI Norgren,18-015,,https://cdn.norgren.com/images/243x/18-013_us.jpg,Monitor pressures in a compressed air system for optimum efficiency,"Port Size: 1/4 NPT | Operating Temperature: -40 ... 65 °C, -40 ... 149 °F | Inlet Pressure: 20 bar, 290 psi | Country of Origin: China",1,Datasheet (PDF),0,23,en_18-015-210.json,,,1/4 NPT,,,,,,,,,"-40 ... 65 °C, -40 ... 149 °F","20 bar, 290 psi",,,,,China,
